Producto buscado,Nombre,Unidad,Cantidad,Precio,Precio_por_unidad,Promedio_categoria_supermercado,Supermercado
Chuleta de puerco,Chuleta De Cerdo 1- Kg Kilogramos Unidades,kg,1.0,88.0,88.0,194.0,Calimax
Chuleta de puerco,Chuleta De Rib Eye Cortefino Por Kg Kilogramos Unidades,kg,1.0,375.0,375.0,194.0,Calimax
Frijol,2 x Frijol Refrito Bayos Isadora 400- Gr,g,400.0,34.0,0.085,17.05,Calimax
Frijol,- 14% Frijol Peruano Verde Valle 900- Gr,g,900.0,71.0,0.0789,17.05,Calimax
Frijol,- 6% Frijol Pinto Diamcers 1- Kg,kg,1.0,51.0,51.0,17.05,Calimax
Huevo de gallina blanco,Huevo Gallina Libre Rancho Gde 12- Pza,pza,12.0,46.0,3.8333,40.22,Calimax
Huevo de gallina blanco,-7% Huevo Blanco Bachoco 1- Pza,pza,1.0,113.0,113.0,40.22,Calimax
Huevo de gallina blanco,Huevo Blanco Bachoco 18- Pza,pza,18.0,69.0,3.8333,40.22,Calimax
Jabón de tocador,Jabon D/Tocador Azul Venus 200- Gr,g,200.0,15.0,0.075,7.64,Calimax
Jabón de tocador,Jabon Tocador Proteccion Y Cuidado Escudo 110- gr,g,110.0,12.0,0.1091,7.64,Calimax
Jabón de tocador,-24% Jabon De Tocador Aroma Lavanda Palmolive 4- Pza,pza,4.0,91.0,22.75,7.64,Calimax
Jitomate saladet,Tomate Saladette S/Marca Por Kg Kilogramos Unidades,kg,1.0,26.0,26.0,8.81,Calimax
Jitomate saladet,Jabon De Jitomate La Salud 100- Gr,g,100.0,30.0,0.3,8.81,Calimax
Jitomate saladet,Sh Jitomate Gizeh 400- Ml,ml,400.0,53.0,0.1325,8.81,Calimax
Leche ,Leche evaporada Carnation Clavel Original lata,g,360.0,23.0,0.0639,25.02,Calimax
Leche ,-11% Leche Deslactosada Santa Clara 1- Lt,lt,1.0,33.0,33.0,25.02,Calimax
